# radial position[m]	 axial position[m]	 current[A]
1e-08	0.288	6.10394e-08
1e-08	-0.288	9.16249e-09
0.00100001	0.288	2.90724
0.00100001	-0.288	2.90724
0.00200001	0.288	11.6941
0.00200001	-0.288	11.6941
0.00300001	0.288	26.5447
0.00300001	-0.288	26.5447
0.00400001	0.288	47.7259
0.00400001	-0.288	47.7259
0.00500001	0.288	75.5261
0.00500001	-0.288	75.5261
0.00600001	0.288	110.165
0.00600001	-0.288	110.165
0.00700001	0.288	151.67
0.00700001	-0.288	151.67
0.00800001	0.288	199.717
0.00800001	-0.288	199.717
0.00900001	0.288	253.418
0.00900001	-0.288	253.418
0.01	0.288	311.063
0.01	-0.288	311.063
0.01	0.289	240.995
0.01	-0.289	240.995
0.01	0.29	178.949
0.01	-0.29	178.949
0.01	0.291	127.365
0.01	-0.291	127.365
0.01	0.292	87.7121
0.01	-0.292	87.7121
0.01	0.293	60.5558
0.01	-0.293	60.5558
0.01	0.294	45.6502
0.01	-0.294	45.6502
0.01	0.295	42.0619
0.01	-0.295	42.0619
0.01	0.296	48.3116
0.01	-0.296	48.3116
0.01	0.297	62.5288
0.01	-0.297	62.5288
0.01	0.298	82.609
0.01	-0.298	82.609
0.01	0.299	106.367
0.01	-0.299	106.367
0.01	0.3	131.679
0.01	-0.3	131.679
0.01	0.301	156.6
0.01	-0.301	156.6
0.01	0.302	179.471
0.01	-0.302	179.471
0.01	0.303	198.98
0.01	-0.303	198.98
0.01	0.304	214.214
0.01	-0.304	214.214
0.01	0.305	224.664
0.01	-0.305	224.664
0.01	0.306	230.222
0.01	-0.306	230.222
0.01	0.307	231.135
0.01	-0.307	231.135
0.01	0.308	227.958
0.01	-0.308	227.958
0.01	0.309	221.479
0.01	-0.309	221.479
0.01	0.31	212.649
0.01	-0.31	212.649
0.01	0.311	202.497
0.01	-0.311	202.497
0.01	0.312	192.057
0.01	-0.312	192.057
0.01	0.313	182.297
0.01	-0.313	182.297
0.01	0.314	174.065
0.01	-0.314	174.065
0.01	0.315	168.038
0.01	-0.315	168.038
0.01	0.316	164.696
0.01	-0.316	164.696
0.01	0.317	164.307
0.01	-0.317	164.307
0.01	0.318	166.926
0.01	-0.318	166.926
0.01	0.319	172.406
0.01	-0.319	172.406
0.01	0.32	180.427
0.01	-0.32	180.427
0.01	0.321	190.523
0.01	-0.321	190.523
0.01	0.322	202.124
0.01	-0.322	202.124
0.01	0.323	214.595
0.01	-0.323	214.595
0.01	0.324	227.279
0.01	-0.324	227.279
0.01	0.325	239.536
0.01	-0.325	239.536
0.01	0.326	250.778
0.01	-0.326	250.778
0.01	0.327	260.503
0.01	-0.327	260.503
0.01	0.328	268.31
0.01	-0.328	268.31
0.01	0.329	273.924
0.01	-0.329	273.924
0.01	0.33	277.196
0.01	-0.33	277.196
0.01	0.331	278.111
0.01	-0.331	278.111
0.01	0.332	276.774
0.01	-0.332	276.774
0.01	0.333	273.407
0.01	-0.333	273.407
0.01	0.334	268.323
0.01	-0.334	268.323
0.01	0.335	261.911
0.01	-0.335	261.911
0.01	0.336	254.611
0.01	-0.336	254.611
0.01	0.337	246.891
0.01	-0.337	246.891
0.01	0.338	239.221
0.01	-0.338	239.221
0.01	0.339	232.053
0.01	-0.339	232.053
0.01	0.34	225.798
0.01	-0.34	225.798
0.01	0.341	220.814
0.01	-0.341	220.814
0.01	0.342	217.385
0.01	-0.342	217.385
0.01	0.343	215.723
0.01	-0.343	215.723
0.01	0.344	215.952
0.01	-0.344	215.952
0.01	0.345	218.116
0.01	-0.345	218.116
