# radial position[m]	 axial position[m]	 current[A]
1e-07	0.288	2.06489e-08
1e-07	-0.288	2.52246e-08
0.001	0.288	2.17433
0.001	-0.288	2.17433
0.002	0.288	8.92434
0.002	-0.288	8.92434
0.003	0.288	20.921
0.003	-0.288	20.921
0.004	0.288	39.2471
0.004	-0.288	39.2471
0.005	0.288	65.3373
0.005	-0.288	65.3373
0.006	0.288	100.88
0.006	-0.288	100.88
0.007	0.288	147.666
0.007	-0.288	147.666
0.008	0.288	207.356
0.008	-0.288	207.356
0.009	0.288	281.142
0.009	-0.288	281.142
0.01	0.288	369.233
0.01	-0.288	369.233
0.01	0.289	268.204
0.01	-0.289	268.204
0.01	0.29	174.364
0.01	-0.29	174.364
0.01	0.291	95.9829
0.01	-0.291	95.9829
0.01	0.292	38.4201
0.01	-0.292	38.4201
0.01	0.293	4.1138
0.01	-0.293	4.1138
0.01	0.294	-7.18136
0.01	-0.294	-7.18136
0.01	0.295	2.04418
0.01	-0.295	2.04418
0.01	0.296	27.6316
0.01	-0.296	27.6316
0.01	0.297	64.4003
0.01	-0.297	64.4003
0.01	0.298	106.799
0.01	-0.298	106.799
0.01	0.299	149.5
0.01	-0.299	149.5
0.01	0.3	187.899
0.01	-0.3	187.899
0.01	0.301	218.477
0.01	-0.301	218.477
0.01	0.302	239.013
0.01	-0.302	239.013
0.01	0.303	248.65
0.01	-0.303	248.65
0.01	0.304	247.82
0.01	-0.304	247.82
0.01	0.305	238.047
0.01	-0.305	238.047
0.01	0.306	221.666
0.01	-0.306	221.666
0.01	0.307	201.493
0.01	-0.307	201.493
0.01	0.308	180.476
0.01	-0.308	180.476
0.01	0.309	161.373
0.01	-0.309	161.373
0.01	0.31	146.473
0.01	-0.31	146.473
0.01	0.311	137.41
0.01	-0.311	137.41
0.01	0.312	135.046
0.01	-0.312	135.046
0.01	0.313	139.459
0.01	-0.313	139.459
0.01	0.314	150.005
0.01	-0.314	150.005
0.01	0.315	165.446
0.01	-0.315	165.446
0.01	0.316	184.121
0.01	-0.316	184.121
0.01	0.317	204.135
0.01	-0.317	204.135
0.01	0.318	223.558
0.01	-0.318	223.558
0.01	0.319	240.6
0.01	-0.319	240.6
0.01	0.32	253.778
0.01	-0.32	253.778
0.01	0.321	262.042
0.01	-0.321	262.042
0.01	0.322	264.866
0.01	-0.322	264.866
0.01	0.323	262.306
0.01	-0.323	262.306
0.01	0.324	254.991
0.01	-0.324	254.991
0.01	0.325	244.075
0.01	-0.325	244.075
0.01	0.326	231.116
0.01	-0.326	231.116
0.01	0.327	217.916
0.01	-0.327	217.916
0.01	0.328	206.312
0.01	-0.328	206.312
0.01	0.329	197.959
0.01	-0.329	197.959
0.01	0.33	194.126
0.01	-0.33	194.126
0.01	0.331	195.534
0.01	-0.331	195.534
0.01	0.332	202.266
0.01	-0.332	202.266
0.01	0.333	213.759
0.01	-0.333	213.759
0.01	0.334	228.877
0.01	-0.334	228.877
0.01	0.335	246.063
0.01	-0.335	246.063
0.01	0.336	263.535
0.01	-0.336	263.535
0.01	0.337	279.506
0.01	-0.337	279.506
0.01	0.338	292.394
0.01	-0.338	292.394
0.01	0.339	301.001
0.01	-0.339	301.001
0.01	0.34	304.628
0.01	-0.34	304.628
0.01	0.341	303.129
0.01	-0.341	303.129
0.01	0.342	296.897
0.01	-0.342	296.897
0.01	0.343	286.786
0.01	-0.343	286.786
0.01	0.344	273.987
0.01	-0.344	273.987
0.01	0.345	259.881
0.01	-0.345	259.881
0.01	0.346	245.885
0.01	-0.346	245.885
0.01	0.347	233.311
0.01	-0.347	233.311
0.01	0.348	223.258
0.01	-0.348	223.258
0.01	0.349	216.534
0.01	-0.349	216.534
0.01	0.35	213.623
0.01	-0.35	213.623
0.01	0.351	214.684
0.01	-0.351	214.684
0.01	0.352	219.583
0.01	-0.352	219.583
0.01	0.353	227.939
0.01	-0.353	227.939
0.01	0.354	239.189
0.01	-0.354	239.189
0.01	0.355	252.649
0.01	-0.355	252.649
0.01	0.356	267.575
0.01	-0.356	267.575
0.01	0.357	283.221
0.01	-0.357	283.221
0.01	0.358	298.877
0.01	-0.358	298.877
0.01	0.359	313.907
0.01	-0.359	313.907
0.01	0.36	327.765
0.01	-0.36	327.765
0.01	0.361	340.011
0.01	-0.361	340.011
0.01	0.362	350.313
0.01	-0.362	350.313
0.01	0.363	358.442
0.01	-0.363	358.442
0.01	0.364	364.269
0.01	-0.364	364.269
0.01	0.365	367.75
0.01	-0.365	367.75
0.01	0.366	368.915
0.01	-0.366	368.915
0.01	0.367	367.854
0.01	-0.367	367.854
0.01	0.368	364.707
0.01	-0.368	364.707
0.01	0.369	359.644
0.01	-0.369	359.644
0.01	0.37	352.863
0.01	-0.37	352.863
0.01	0.371	344.572
0.01	-0.371	344.572
